,num,ClassName,min,max
0,0,荒漠,4190,4842
1,1,盐爪爪(Kalidiumfoliatum)荒漠,2650,4660
2,2,芨芨草(Achnatherumsplendens)草甸,3331,5028
3,3,矮生嵩草(Kobresiahumilis)草甸,2279,5361
4,4,垂穗披碱草(Elymusnutans)高寒草甸,2397,5225
5,4,垂穗披碱草草甸,3454,3849
6,5,高山嵩草(Kobresiapygmaea)草甸,1912,5466
7,6,高山薹草(Carexpseudosupina)草原,2020,4614
8,7,紫花针茅(Stipapurpurea)草原,1864,5529
9,8,线叶嵩草(Kobresiacapillifolia)草甸,2704,5221
10,9,金露梅(Potentillafruticosa)灌丛,3475,5367
11,10,鹅绒委陵菜(Potentillaanserina)高寒草甸,2582,4903
12,11,垫状金露梅(Potentillafruticosavar.pumila)灌丛,4088,5102
13,12,藏北嵩草(Kobresialittledalei)沼泽草甸,2717,5324
14,13,细叶嵩草(Kobresiafilifolia)草甸,2683,4107
15,14,扇穗茅(Littledalearacemosa)高寒草原,3360,4369
16,15,藏嵩草(Kobresiavchaenoides=Kobresiatibetica)沼泽草甸,2702,4904
17,16,青藏薹草(Carexmoorcroftii)高寒草原,1834,5317
18,17,嵩草(Kobresiaspp.)草甸,3520,4975
19,18,冰草(Agropyroncristatum)草原,3128,5046
20,19,短花针茅(Stipabreviflora)荒漠草原,2889,4716
21,20,芨芨草(Achnatherumsplendens)草原,3123,4775
22,21,赖草(Leymussecalinus)草甸,2171,4998
23,22,长芒草(Stipabungeana)草原,2029,4729
24,23,沙生针茅(Stipaglareosa)荒漠草原,3311,5209
25,24,华扁穗草(Blysmussinocompressus)沼泽化草甸,2280,4778
26,25,羊茅(Festucaovina)杂类草草甸,2619,5401
27,26,糙喙薹草(Carexscabrirostris)草甸,3107,4559
28,27,小叶金露梅(Potentillaparvifolia)灌丛,2375,4841
29,28,黄帚橐吾(Ligulariavirgaurea)杂类草草甸,2869,4471
30,29,圆穗蓼(Polygonummacrophyllum)、珠芽蓼(Polygonumviviparum)高寒草甸,2536,4984
31,30,高山稀疏植被,3500,4741
32,31,细叶西伯利亚蓼(Polygonumsibiricumvar.thomsonii)杂类草草甸,2872,5071
33,32,细叶亚菊(Ajaniatenuifolia)草原,3323,4867
34,33,冷蒿(Artemisiafrigida)草原,2844,4759
35,34,薹草、嵩草高寒草甸与匍匐水柏枝灌丛(专为植被图),3520,4524
36,35,沙生风毛菊(Saussureaarenaria)+矮风毛菊(Saussureahumilis)高寒草甸,2389,5057
37,36,异针茅(Stipaaliena)草原,3278,4828
38,37,三芒草(Aristidaadscensionis)草甸,3634,4819
39,38,山生柳(Salixoritrepha)灌丛,3350,4739
40,39,细叶亚菊(Ajaniatenuifolia)杂类草草甸,2281,4658
41,40,黄花枇杷柴(Reaumureatrigyna)荒漠,4608,4667
42,41,圆叶盐爪爪(Kalidiumschrenkianum)荒漠,4101,4683
43,42,驼绒藜(Ceratoideslatens)荒漠,3765,4683
44,43,西藏亚菊(Ajaniatibetica)荒漠,2801,4611
45,44,芦苇(Phragmitesaustralis)盐生草甸,4538,4786
46,45,芦苇(Phragmitesaustralis)沼泽,2587,4586
47,47,蒿叶猪毛菜(Salsolaabrotanoides)荒漠,3287,4794
48,48,梭梭(Haloxylonammondendron)荒漠,4553,4676
49,49,疏花针茅(Stipapenicillata)草原,3089,4624
50,50,青海早熟禾(Poarossbergiana)+扇穗茅(Littledalearacemosa)高寒草甸,2848,4744
51,51,藏沙蒿(Artemisiawellbyi)高寒草原,3588,5358
52,52,光沙蒿(Artemisiaoxycephala=沙蒿Artemisiaarenaria)荒漠,4199,4470
53,53,青海刺参(Morinakokonorica)草原,4036,4671
54,54,甘肃雪灵芝、垫状点地梅、簇生柔籽草垫状植被,2942,4615
55,55,青海早熟禾(Poarossbergiana)草甸,4033,5200
56,56,风毛菊(Saussureaspp.)+红景天(Rhodiolaspp.)+垂头菊(Cremanthodiumspp.)群落(专为植被制图),2841,4365
57,57,藓状雪灵芝(Arenariabryophylla)垫状植被,2774,4601
58,58,农田作物,3359,4759
59,59,草地早熟禾(Poapratensis)草甸,4261,4328
60,60,山杨(Populusdavidiana)林,3458,4618
61,61,西北针茅(Stipasareptanavar.krylovii)草原,1995,4198
62,62,细叶早熟禾(Poapratensissubsp.angustifolia)草甸草原,2296,4532
63,63,矮生忍冬(Lonicerarupicolavar.minuta)杂类草草甸,3205,4018
64,64,高山柳(Salixcupularis)灌丛,3410,3934
65,65,薹草(Carexspp.)草甸,3665,5168
66,66,醉马草(Achnatheruminebrians)草原,3004,4715
67,67,中亚早熟禾(Poalitwinowiana)高寒草原,2854,4429
68,68,毛枝山居柳(Salixoritrepha)灌丛,3476,4306
69,69,方枝圆柏(Juniperussaltuaria)林,3708,4695
70,70,西藏沙棘(Hippophaetibetana)灌丛,3221,4615
71,71,圆柏灌丛,2276,4322
72,72,华北落叶松(Larixprincipis-rupprechtii)+青扦(Piceawilsonii)+白扦(Piceameyeri)混交林,3430,4354
73,73,暗褐薹草(Carexatrofusca)草甸,2019,4748
74,74,克氏针茅(Stipakryllovii)草原,2642,4406
75,75,碱韭(Alliumpolyrhizum)草原,2925,4406
76,76,羊草(Leymuschinensis)草原,2264,4595
77,77,羽柱针茅(Stipasubsessilifloravar.basiplumosa)草原,2990,5198
78,78,粗壮嵩草(Kobresiarobusta)草甸,3309,4801
79,79,大花嵩草(Kobresiamacrantha)草甸,4485,4980
80,80,杂类草草甸,3519,4898
81,81,毛瓣棘豆(Oxytropissericopetala)草原,4402,5481
82,82,镰叶韭(Alliumcarolinianum)草原,4244,5253
83,83,大花蒿(Artemisiamacrocephala)草原,4516,4812
84,84,大籽蒿(Artemisiasieversiana)草原,4114,5319
85,85,展苞灯心草(Juncusthomsonii)草甸,4407,5305
86,86,藏羊茅(Festucawallichiana)草原,4282,5082
87,88,针茅(Stipaspp.)草原,3925,5259
88,90,紫花针茅(Stipapurpurea)+狼毒(Stellerachamaejasme)草原,4278,4920
89,91,紫花针茅(Stipapurpurea)草原(含垫状金露梅),4107,4845
90,92,固沙草(Orinusthoroldii)高寒草原,3699,5027
91,93,冻原白蒿(Artemisiastracheyi)草原,4346,5180
92,94,三刺草(Aristidatriseta)草原,2934,5016
93,95,昆仑针茅(Stiparoborowskyi)草原,2729,4812
94,96,戈壁针茅(Stipatianschanicavar.gobica)荒漠草原,2845,4153
95,97,早熟禾(Poaannua)高寒草甸,3741,4119
96,98,干生薹草草甸,2205,3849
