aet2020,aet2021,aet2101,aet2102,aet2103,aet2104,aet2105,aet2106,aet2107,aet2108,aet2109,aet2110,aet2111,aet2112,Aspect,DSM,Slope,EVI220101,EVI220117,EVI220202,EVI220218,EVI220306,EVI220322,EVI220407,EVI220423,EVI220509,EVI220525,EVI220610,EVI220626,EVI220712,EVI220728,EVI220813,EVI220829,EVI220914,EVI220930,EVI221016,EVI221101,EVI221117,EVI221203,EVI221219,FPAR220101,FPAR220117,FPAR220202,FPAR220218,FPAR220306,FPAR220322,FPAR220407,FPAR220423,FPAR220509,FPAR220525,FPAR220610,FPAR220626,FPAR220712,FPAR220728,FPAR220813,FPAR220829,FPAR220914,FPAR220930,FPAR221024,FPAR221109,FPAR221125,FPAR221211,FPAR221227,LAI220101,LAI220117,LAI220202,LAI220218,LAI220306,LAI220322,LAI220407,LAI220423,LAI220509,LAI220525,LAI220610,LAI220626,LAI220712,LAI220728,LAI220813,LAI220829,LAI220914,LAI220930,LAI221024,LAI221109,LAI221125,LAI221211,LAI221227,LST2018,LST2019,LST2020,LST2021,LST2022,LST220101,LST220117,LST220202,LST220218,LST220306,LST220322,LST220407,LST220423,LST220509,LST220525,LST220610,LST220626,LST220712,LST220728,LST220813,LST220829,LST220914,LST220930,LST221016,LST221101,LST221117,LST221203,LST221219,NDVI220101,NDVI220117,NDVI220202,NDVI220218,NDVI220306,NDVI220322,NDVI220407,NDVI220423,NDVI220509,NDVI220525,NDVI220610,NDVI220626,NDVI220712,NDVI220728,NDVI220813,NDVI220829,NDVI220914,NDVI220930,NDVI221016,NDVI221101,NDVI221117,NDVI221203,NDVI221219,PR2001,PR2002,PR2003,PR2004,PR2005,PR2006,PR2007,PR2008,PR2009,PR2010,PR2011,PR2012,PR2018,PR2019,PR2020,PR2021,PR2101,PR2102,PR2103,PR2104,PR2105,PR2106,PR2107,PR2108,PR2109,PR2110,PR2111,PR2112,SOIL2020,SOIL2021,SOIL2101,SOIL2102,SOIL2103,SOIL2104,SOIL2105,SOIL2106,SOIL2107,SOIL2108,SOIL2109,SOIL2110,SOIL2111,SOIL2112,GPP230101,GPP230117,GPP230202,GPP230218,GPP230306,GPP230322,GPP230407,GPP230423,GPP230509,GPP230525,GPP230610,GPP230626,GPP230712,GPP230728,GPP230813,GPP230829,GPP230914,GPP230930,GPP231016,GPP231101,GPP231117,GPP231203,GPP231219,SR230101b01,SR230101b02,SR230101b03,SR230101b04,SR230101b05,SR230101b06,SR230101b07,SR230109b01,SR230109b02,SR230109b03,SR230109b04,SR230109b05,SR230109b06,SR230109b07,SR230117b01,SR230117b02,SR230117b03,SR230117b04,SR230117b05,SR230117b06,SR230117b07,SR230125b01,SR230125b02,SR230125b03,SR230125b04,SR230125b05,SR230125b06,SR230125b07,SR230202b01,SR230202b02,SR230202b03,SR230202b04,SR230202b05,SR230202b06,SR230202b07,SR230210b01,SR230210b02,SR230210b03,SR230210b04,SR230210b05,SR230210b06,SR230210b07,SR230218b01,SR230218b02,SR230218b03,SR230218b04,SR230218b05,SR230218b06,SR230218b07,SR230226b01,SR230226b02,SR230226b03,SR230226b04,SR230226b05,SR230226b06,SR230226b07,SR230306b01,SR230314b01,SR230322b01,SR230330b01,SR230407b01,SR230415b01,SR230423b01,SR230704b07,SR230712b01,SR230712b02,SR230712b03,SR230712b04,SR230712b05,SR230712b06,SR230712b07,SR230720b01,SR230720b02,SR230720b03,SR230720b04,SR230720b05,SR230720b06,SR230720b07,SR230728b01,SR230728b02,SR230728b03,SR230728b04,SR230728b05,SR230728b06,SR230728b07,SR230805b01,SR230805b02,SR230805b03,SR230805b04,SR230805b05,SR230805b06,SR230805b07,SR230813b01,SR230813b02,SR230813b03,SR230813b04,SR230813b05,SR230813b06,SR230813b07,SR230821b01,SR230821b02,SR230821b03,SR230821b04,SR230821b05,SR230821b06,SR230821b07,SR230829b01,SR230829b02,SR230829b03,SR230829b04,SR230829b05,SR230829b06,SR230829b07,X,Y,num,Formation,Formation_encoded
23.916666,23.0,0,76,9,46,65,24,25,0,2,3,0,0,199.6959991,1424,1.29531,1386,1076,1375,985,1007,1942,2114,3124,2646,2603,2775,2584,3511,2678,2992,2319,2114,2217,1812,1713,1598,1154,1462,15,18,9,12,12,14,25,28,32,30,30,31,39,35,39,31,26,31,23,19,19,9,18,2,2,1,2,2,2,5,6,7,7,6,6,8,7,8,7,4,6,3,2,2,1,2,14691.86957,14723.6087,14697.15217,14771.13043,14868.38462,13883,13952,14034,14164,14741,14682,15331,15085,15232,15349,15277,15394,15652,15162,15094,15133,14844,14932,0,14557,14416,13666,13805,2009,1690,1925,1401,1483,2753,2874,3820,3616,3832,4028,3790,4577,3704,3628,3730,3455,3109,2908,2688,2439,1612,2323,1,0,0,10,21,2,3,0,0,0,0,0,5.9166665,5.0,2.6666667,2.6666667,0,8,1,5,7,3,3,0,0,0,0,0,6.5833335,5.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,21,53,60,121,200,151,180,0,76,46,189,96,134,88,109,65,60,34,38,3,1568,2345,831,1244,2671,2377,1799,2904,3801,1449,2464,3762,3636,2817,3699,4309,3230,3518,3388,1607,919,1989,2874,1036,1604,2960,2761,2034,1820,2577,962,1473,2924,2716,2146,0,0,0,0,0,0,0,1884,2608,943,1514,2947,2767,2093,2136,2965,1119,1746,3199,3191,2427,1691,1742,1696,1507,1809,1465,1473,2149,1486,3411,815,1421,3375,2695,1904,1311,3088,682,1172,3011,2397,1624,1078,3442,605,1093,3261,2278,1272,1371,3416,721,1345,3282,2620,1663,1301,2992,690,1180,3003,2515,1628,1238,2864,683,1146,2817,2253,1446,1186,2696,623,1080,2708,2226,1405,81.429147,36.88641,12,农业植被,2
141.58333,140.25,0,0,64,248,90,215,181,197,196,97,0,0,329.493988,1428,3.64323,-221,44,-106,206,348,1192,1507,1729,2968,3287,2701,2261,2323,1776,1854,1708,1368,1249,1245,1132,-122,79,-201,1,1,1,1,7,7,15,30,41,41,40,38,25,24,23,17,16,16,9,2,1,0,0,0,0,0,0,1,1,2,6,9,10,9,9,5,5,5,3,3,3,1,0,0,0,0,14320.82609,14426.32609,14491.80435,14429.6087,14640.82051,13337,13359,13302,13365,13961,13740,14864,15069,14952,15207,15659,15702,15682,15552,15504,15569,15123,14550,0,14272,13406,13008,13068,-260,44,-123,220,516,2006,2626,3008,4579,4859,4130,3557,3117,2962,3007,2984,2308,1991,2518,2162,-121,75,-193,3,1,8,5,10,15,42,18,18,6,4,1,21.333334,17.083334,14.833333,16.083334,5,3,7,14,10,23,19,21,21,10,8,3,19.083334,17.166666,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,10,11,66,136,237,347,277,319,208,166,125,80,96,38,2,0,0,0,6426,6116,6714,6402,2827,798,312,2743,2487,3159,2948,1254,580,365,7578,7337,7591,7510,3709,893,336,7253,7133,7117,7240,3692,903,337,7872,7486,7458,7873,3436,663,257,6575,6294,6451,6630,3265,974,439,6016,5585,6080,5972,2595,753,397,4663,4499,4133,4523,2131,1065,659,2042,1507,1283,1059,1216,1517,1563,2155,1035,2712,516,934,3027,2635,1781,1325,2922,656,1152,3366,3085,2136,1752,3552,836,1430,4138,3883,2646,1434,2736,701,1172,3243,3083,2144,1361,2521,677,1112,3011,2905,2110,1683,3150,818,1383,3657,3585,2561,1287,2367,641,1034,2804,2724,1938,89.81536519,43.6273669,26,丛生草类草原,0
33.583332,40.833332,0,9,74,27,87,36,33,45,18,6,10,0,285.9079895,884,2.16765,1224,1217,1158,1154,1111,1290,1188,1268,1364,1604,1436,1668,1880,1748,1893,1418,1640,1528,1090,1217,1258,1051,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14908.32558,14868.2,14923.27273,14945.22222,15226.32432,13642,13988,0,14222,14906,14816,15450,15546,15707,15848,16001,16141,15912,15908,15795,15669,15338,15119,0,14584,14202,13813,13731,1843,1796,1674,1652,1291,1612,1474,1520,1653,1787,1618,1946,2462,2069,2145,2002,2054,1979,1392,1631,1653,1426,1491,1,0,0,1,4,2,17,3,1,0,0,0,6.8333335,5.75,3.75,4.75,0,1,8,3,9,4,4,5,2,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,2585,1154,1697,2844,2870,2145,1890,2485,1071,1522,2802,2837,2110,2542,3101,1424,2092,3313,3215,2537,2335,2906,1336,1937,3206,3108,2454,1965,2574,1081,1604,2872,2917,2198,2561,3191,1411,2131,3484,3358,2674,2455,3110,1384,2036,3450,3414,2685,2180,2789,1209,1779,3140,3190,2536,2177,2073,2370,2364,2460,2436,2715,2019,2290,3605,1298,1981,3925,3646,2665,2616,4016,1458,2245,4317,3910,2811,2070,3220,1172,1761,3383,3244,2401,2145,3285,1237,1889,3556,3300,2479,2252,3468,1305,1972,3717,3487,2617,2424,3807,1427,2113,4098,3794,2833,1862,2286,1085,1671,2303,2098,1576,86.21417607,41.21750045,19,根茎草类草甸,7
11.75,22.25,0,14,7,96,71,52,183,20,26,9,0,0,230.9889984,1099,1.98159,826,1202,693,747,801,715,969,1097,1579,2157,3547,2250,2147,2481,2942,1971,1722,2485,653,981,1230,820,809,9,9,9,9,9,7,7,11,21,25,25,33,31,31,46,32,12,21,21,9,9,9,9,1,1,1,1,1,1,1,2,4,5,5,8,7,6,11,7,2,3,3,1,1,1,1,14451.76087,14521.04348,14563.4186,14497.62222,14614.94737,13626,13695,13593,13795,14272,13903,14964,15153,15098,15209,15293,15391,15264,14921,14957,14905,14828,14790,0,14342,14025,13591,13554,1314,1722,1072,1171,1135,1172,1457,1758,2359,3595,4479,3793,3185,3878,4850,3579,3106,3424,1166,1828,2071,1267,1314,1,0,0,6,3,2,11,2,1,1,0,0,4.3333335,3.25,1.4166666,2.6666667,0,1,1,10,8,6,19,2,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,23,28,46,45,46,81,0,96,27,46,65,73,53,74,57,64,16,14,0,1596,2216,813,1281,2514,2322,1774,2312,2408,1782,2162,2400,2175,1709,2119,2733,1249,1700,2906,2643,1999,1903,2442,1187,1477,2407,2450,1771,2092,2679,1181,1549,2709,2588,2042,0,0,0,0,0,0,0,2028,2453,1528,1810,2570,2548,1990,1696,2199,1051,1424,2454,2457,1983,1539,1974,1894,1702,1603,2322,1992,1077,1532,3335,1005,1482,3072,2405,1683,1359,2720,751,1221,2542,2119,1516,1570,3638,792,1457,3302,2605,1695,1163,2421,628,1026,2086,1801,1165,1278,2212,734,1147,2001,1580,1146,1712,3710,1047,1634,3312,2692,1753,1258,2680,823,1172,2548,1973,1339,79.001874,39.855668,12,农业植被,2
153.08333,150.83333,0,9,425,129,266,385,266,179,130,220,0,0,103.3679962,1120,1.23801,1568,1745,1416,1369,1377,1164,1613,3549,3598,3798,4859,5091,5804,6073,4599,4596,3305,2740,1836,1713,973,1328,519,15,9,15,9,9,7,14,22,29,31,42,44,33,31,29,46,31,27,18,18,9,9,9,2,1,2,1,1,1,2,5,6,7,11,10,7,6,5,9,5,5,2,2,1,1,1,14397.04444,14474.43182,14484.93333,14487.13333,14565.69231,13723,13316,13610,13939,14238,14409,14682,14890,15194,15076,15194,15061,15057,15057,15033,14991,14834,14581,0,14070,0,0,13329,2379,2456,2011,2039,1902,1924,2471,4823,4703,5603,6971,6675,7558,7582,6357,6679,5329,4833,3323,3111,2595,2130,574,5,8,12,12,20,32,29,27,23,12,8,6,21.083334,18.333334,15.666667,16.666666,13,12,16,14,28,40,28,19,14,23,14,8,13.25,15.0,11,19,17,16,15,14,13,13,12,11,11,11,5,0,3,11,20,38,50,109,118,213,259,281,237,279,187,219,156,150,84,46,26,9,8,4586,4920,4214,4415,3655,1843,1134,3837,4017,3978,3863,2976,1320,808,2200,2786,1245,1829,2448,1809,1421,2189,2580,1212,1844,2540,2434,2049,1761,2075,1049,1488,2201,2110,1721,2493,3159,1852,2236,2564,1188,660,1761,2229,1047,1502,2528,2375,1881,1429,1940,731,1176,2305,2190,1746,1595,1490,1539,1552,1254,1330,1374,1670,1267,2607,686,1147,2394,1972,1417,941,3021,536,875,2529,2027,1287,1059,2585,597,993,2436,1990,1269,1016,2762,561,940,2590,1963,1095,1345,2392,779,1257,2426,2113,1569,1300,2266,753,1210,2202,1792,1357,1020,1841,594,920,1869,1636,1105,82.014515,43.231432,12,农业植被,2
180.83333,159.41667,0,0,29,729,747,633,602,495,317,91,0,0,153.5890045,2007,10.5670004,-46,-210,148,-434,-2,-235,1990,2865,5833,7453,7718,8445,8245,7160,5119,5232,4941,4368,1447,2268,0,0,0,0,1,1,1,0,0,23,47,71,89,93,93,65,59,75,69,68,62,9,3,1,0,0,0,0,0,0,0,0,4,11,24,49,55,55,20,17,27,19,18,15,1,1,0,0,0,14267.71111,14334.06522,14300.86667,14320.52174,14434.56757,13395,13470,13349,13420,0,13649,14865,15140,15141,14830,14874,14853,14666,14825,14829,15079,15016,14717,0,14338,13173,12839,13173,-41,-189,134,-404,-2,-211,3219,4127,8036,8715,8730,9081,8500,7716,6711,6838,6342,5878,1842,3405,0,0,0,7,11,24,39,56,54,65,46,38,20,11,6,23.666666,24.0,19.333334,17.75,12,20,27,25,64,64,62,51,33,38,18,9,27.583334,41.416668,37,37,71,201,104,74,58,48,41,70,70,70,3,0,2,13,12,56,72,142,250,317,406,320,656,560,526,334,108,202,155,76,37,15,13,9259,9104,8840,9203,6062,2683,1616,11932,11766,11033,11585,7230,2039,768,10861,10379,9795,10625,4634,842,336,10536,10107,9432,10136,4398,1118,511,6619,6897,6488,6192,4520,2514,1468,10608,10626,9383,10275,6681,2437,1189,4816,4613,5104,4968,2890,1622,1157,5282,5433,5052,4860,3502,2217,1350,2965,2047,1436,1236,1399,1486,1079,1847,636,4264,329,844,4383,3122,1498,455,4028,260,627,4047,2652,1207,664,4516,346,821,4697,3309,1534,675,4887,374,903,4893,3175,1396,449,4055,260,602,3946,2401,959,567,4515,311,750,4340,2800,1168,590,4403,311,745,4399,2789,1170,80.74486675,43.09954856,30,丛生草类草甸,1
41.5,40.5,0,10,48,30,107,59,27,37,22,9,5,0,307.6759949,900,4.1463099,1139,911,1002,923,1019,1137,1050,1166,1573,1642,1708,1958,2555,2045,2170,2009,1814,1667,1314,1247,1136,1066,1197,10,10,10,10,15,13,10,13,13,20,22,42,44,39,37,44,33,29,20,19,10,10,10,1,1,1,1,2,2,2,2,2,3,4,10,10,8,7,10,6,5,2,2,1,1,1,14806.67442,14899.27907,14877.15556,14866.38636,15036.73684,13698,13817,0,14162,14651,14686,15264,15319,15681,15392,15720,15753,15547,15534,15535,15366,15091,14967,0,14342,14094,13640,13707,1543,1379,1510,1331,1284,1535,1447,1588,2096,2081,2258,2498,4060,3123,2947,2869,2694,2378,1885,1904,1610,1573,1616,2,0,0,1,2,3,30,3,1,0,0,0,8.083333,6.4166665,4.5833335,4.6666665,0,1,5,3,11,6,3,4,2,1,1,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,34,48,36,58,44,93,17,69,29,43,64,35,90,69,93,35,17,12,0,2331,2647,1575,2021,2318,2331,1735,2232,2746,1409,1881,2555,2313,1752,3166,3679,2434,2886,3146,2088,1437,2411,2969,1787,2118,3024,2547,1969,2137,2569,1430,1866,2497,2127,1683,2082,2561,1106,1723,2480,2483,1858,1912,2499,1033,1549,2589,2443,1934,1824,2363,975,1491,2600,2410,1891,1791,1893,2193,2235,2069,2325,1828,1613,1658,3336,902,1518,3150,2683,1877,1798,3562,967,1618,3616,2925,2111,1187,2935,651,1049,2785,2127,1495,1178,3001,643,1100,2771,2013,1313,1304,3187,712,1211,2855,2151,1347,1379,3112,745,1253,2764,1957,1304,1358,3195,753,1234,3015,2290,1498,85.65472,41.04828041,19,根茎草类草甸,7
200.16667,194.58333,0,0,0,45,722,334,573,354,300,0,0,0,207.996994,2863,2.87219,536,-63,-114,-227,224,-174,1036,1427,1635,2540,2740,3001,3046,2063,1882,1780,1654,1432,1320,1359,-42,-152,-201,3,9,0,0,0,0,7,14,23,34,42,43,35,25,24,26,27,16,9,0,0,0,0,1,1,0,0,0,0,1,3,5,7,12,10,7,5,5,4,5,3,1,0,0,0,0,14147.95455,14132.13636,14147.95652,14173.71739,14554.25,0,13271,12867,12965,0,13459,14633,14902,15075,15229,15178,15116,15470,15484,15272,15164,15034,14696,0,14186,12948,12617,12633,574,-57,-108,-210,272,-157,1736,2570,2704,4415,4758,5051,5235,3482,3012,3221,2840,2602,2317,2233,-38,-139,-183,3,1,4,19,40,63,74,59,46,4,5,1,29.083334,29.166666,26.25,24.666666,3,2,11,17,40,35,60,37,32,16,2,1,94.666664,88.083336,12,12,12,12,11,11,10,10,10,10,10,10,0,0,0,0,0,0,3,17,47,75,134,185,332,272,206,164,49,42,17,1,0,0,0,9641,9324,9299,9585,6201,2278,1005,9857,9743,9748,9647,6545,2659,1435,9330,8967,8949,9304,5795,2463,1282,9581,9540,9204,9349,6160,2922,1709,8873,8689,8548,8857,5344,1668,708,8163,7902,7895,8154,4731,1297,566,9159,8807,8783,9072,4116,649,234,9289,8983,9078,9155,4986,1384,532,7421,8111,7565,5596,1638,3886,1653,1380,1024,2881,511,970,3283,2845,1797,995,2725,496,924,3090,2760,1846,952,2485,502,885,2791,2603,1686,1163,2582,579,1018,3095,2942,2089,735,2008,376,663,2446,2155,1263,1067,2675,512,971,3175,2829,1822,1168,2494,587,1010,2949,2674,1761,85.51020733,43.10166019,26,丛生草类草原,0
55.666668,57.25,0,0,78,58,29,137,165,135,84,72,0,0,251.673996,1464,3.9081199,506,381,-153,-111,585,620,711,789,853,845,745,695,735,695,641,663,604,482,550,600,-253,-210,-293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14519.17391,14626.2,14565.97826,14610.62222,14865.28947,13613,13467,13285,13382,14392,14243,15130,15168,15203,15613,15986,15922,16021,15929,15783,15478,15417,14523,0,14354,13428,12948,13062,699,606,-148,-107,950,965,950,1311,1088,1062,999,956,913,909,866,915,828,919,839,812,-238,-194,-272,1,1,3,1,7,14,41,8,9,4,2,1,12.583333,7.4166665,6.0833335,6.75,1,1,3,6,3,14,17,14,9,8,3,2,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8168,7809,8003,8064,3863,916,357,6612,6389,6382,6529,2926,855,501,8677,8368,8485,8773,5307,1670,711,6567,6212,6836,6795,4240,2365,1650,8323,8022,7890,8255,4496,1099,387,8019,7927,7699,7896,5108,1862,881,4921,4755,4147,4725,1872,800,581,2220,2505,1429,1921,2260,2261,1932,2060,2273,2011,2446,2586,1467,2546,2877,2584,3222,1408,2113,3543,3922,3603,2347,2904,1255,1894,3219,3597,3240,2276,2778,1208,1828,3144,3416,3206,2313,2808,1244,1859,3075,3490,3188,2536,3115,1340,2073,3479,3836,3567,1917,2318,1028,1595,2588,2731,2469,2411,2949,1301,1977,3279,3574,3326,91.02527778,43.715,31,半灌木与草本荒漠,4
103.416664,106.833336,0,0,199,138,305,367,225,178,91,160,0,0,240.6829987,2186,6.04109,809,810,899,836,740,838,1322,1844,1792,2275,1868,1598,1535,1446,2018,2270,1840,1951,1075,984,-51,-54,-112,9,9,9,9,12,7,14,21,25,28,21,22,20,16,30,34,28,27,15,1,3,2,2,1,1,1,1,2,1,2,4,5,6,4,4,4,3,6,6,5,5,2,0,1,0,0,14309.17391,14438.13333,14412.28261,14375.34783,14601.84615,13774,13925,13686,13841,14515,13791,14598,14956,15347,15416,15378,15553,15172,15385,14886,14791,14667,14489,0,14096,13623,13309,13281,1259,1269,1272,1259,1202,1458,1860,2906,2778,3407,2606,2404,2172,1994,3160,3379,2909,3280,1757,1644,-55,-50,-131,2,2,4,10,33,33,33,29,21,6,5,1,20.5,20.916666,16.083334,16.0,4,3,8,15,32,39,24,19,10,17,2,1,77.5,68.75,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,13,26,41,68,124,169,166,165,107,133,179,61,115,42,30,15,8,3,0,5369,5431,4771,5026,2843,1255,774,7446,7237,6883,7326,4619,2200,1309,8150,7828,7610,8075,3724,725,312,7535,7220,6984,7420,3397,758,338,7004,6897,6426,6757,4336,1371,650,6181,5895,6290,6194,3803,1289,641,7265,7187,7293,6965,4019,1269,591,6691,6602,5767,6416,4073,1421,735,3559,1802,2308,4009,1654,2400,1950,2988,1943,3167,959,1540,3654,3542,2854,1680,2645,834,1279,3155,3177,2584,2073,3309,1051,1685,3852,3844,3109,1538,2564,784,1183,2950,2971,2395,1705,2651,865,1324,3086,3138,2613,1859,2974,838,1450,3415,3260,2286,1697,2525,855,1287,2985,3135,2566,80.52477181,41.71103467,8,半灌木与草本荒漠,4
