FID,÷≤±ª»∫,¥Û¿‡,Vegatation,Code,AET1901,AET1902,AET1903,AET1904,AET1905,AET1906,AET1907,AET1908,AET1909,AET1910,AET1911,AET1912,Full_Exten,Full_Ext_1,Full_Ext_2,Full_Ext_3,Full_Ext_4,Full_Ext_5,Full_Ext_6,Full_Ext_7,QTP_ASPECT,QTP_DEM,QTP_SLOPE,EVI190101,EVI190117,EVI190202,EVI190218,EVI190306,EVI190322,EVI190407,EVI190423,EVI190509,EVI190525,EVI190610,EVI190626,EVI190712,EVI190728,EVI190813,EVI190829,EVI190914,EVI190930,EVI191016,EVI191101,EVI191117,EVI191203,EVI191219,GPP190101,GPP190117,GPP190202,GPP190218,GPP190306,GPP190322,GPP190407,GPP190423,GPP190509,GPP190525,GPP190610,GPP190626,GPP190712,GPP190728,GPP190813,GPP190829,GPP190914,GPP190930,GPP191016,GPP191101,GPP191117,GPP191203,GPP191219,LAI190101,LAI190117,LAI190202,LAI190218,LAI190306,LAI190322,LAI190407,LAI190423,LAI190509,LAI190525,LAI190610,LAI190626,LAI190712,LAI190728,LAI190813,LAI190829,LAI190914,LAI190930,LAI191016,LAI191101,LAI191117,LAI191203,LAI191219,LST190101,LST190117,LST190202,LST190218,LST190306,LST190322,LST190407,LST190423,LST190509,LST190525,LST190610,LST190626,LST190712,LST190728,LST190813,LST190829,LST190914,LST190930,LST191016,LST191101,LST191117,LST191203,LST191219,LST2015,LST2016,LST2017,LST2018,LST2019,NDVI190101,NDVI190117,NDVI190202,NDVI190218,NDVI190306,NDVI190322,NDVI190407,NDVI190423,NDVI190509,NDVI190525,NDVI190610,NDVI190626,NDVI190712,NDVI190728,NDVI190813,NDVI190829,NDVI190914,NDVI190930,NDVI191016,NDVI191101,NDVI191117,NDVI191203,NDVI191219,NPP190101,NPP190117,NPP190202,NPP190218,NPP190306,NPP190322,NPP190407,NPP190423,NPP190509,NPP190525,NPP190610,NPP190626,NPP190712,NPP190728,NPP190813,NPP190829,NPP190914,NPP190930,NPP191016,NPP191101,NPP191117,NPP191203,NPP191219,PAR190101,PAR190117,PAR190202,PAR190218,PAR190306,PAR190322,PAR190407,PAR190423,PAR190509,PAR190525,PAR190610,PAR190626,PAR190712,PAR190728,PAR190813,PAR190829,PAR190914,PAR190930,PAR191016,PAR191101,PAR191117,PAR191203,PAR191219,PR190101,PR190201,PR190301,PR190401,PR190501,PR190601,PR190701,PR190801,PR190901,PR191001,PR191101,PR191201,PR2015,PR2016,PR2017,PR2018,PR2019,SOIL1901,SOIL1902,SOIL1903,SOIL1904,SOIL1905,SOIL1906,SOIL1907,SOIL1908,SOIL1909,SOIL1910,SOIL1911,SOIL1912,SR190602B1,SR190602B2,SR190602B3,SR190602B4,SR190602B5,SR190602B6,SR190602B7,SR190704B1,SR190704B2,SR190704B3,SR190704B4,SR190704B5,SR190704B6,SR190704B7,SR190728B1,SR190728B2,SR190728B3,SR190728B4,SR190728B5,SR190728B6,SR190728B7,SR190829B1,SR190829B2,SR190829B3,SR190829B4,SR190829B5,SR190829B6,SR190829B7,SR190930B1,SR190930B2,SR190930B3,SR190930B4,SR190930B5,SR190930B6,SR190930B7,X,Y
0,–°·‘≤›°¢–°¥‘∫Ïæ∞ÃÏ≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,0,0,664,826,710,410,0,0,0,32767,807,807,770,812,922,32767,740,246.2920074,4227,6.8965302,1159,121,1055,1129,1059,1159,1200,1251,1511,1538,2456,3778,3698,4274,3167,2972,2532,1825,1050,1158,887,946,1206,0,0,0,0,0,0,0,15,7,29,106,177,238,278,256,174,63,44,0,0,0,0,0,2,1,2,2,1,2,3,2,2,4,7,10,17,16,13,8,7,4,1,3,2,2,2,13450,13202,13496,13814,14044,14256,14122,14256,14105,14628,14594,14423,14823,14877,14778,14693,14367,14492,13878,14023,13771,13514,13243,14113.54348,14287.22727,14149.15556,14212.30435,14057.46512,1953,120,1639,1812,1576,1831,1854,2121,2273,2657,4239,5838,5925,6134,5581,5644,4629,3578,1407,1644,1439,1564,1674,0,0,0,0,0,0,0,13,7,25,94,155,204,247,225,157,52,36,0,0,0,0,0,17,9,15,18,7,15,13,12,11,19,34,45,55,57,51,34,38,24,9,20,14,19,19,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,30.83333333,45.58333333,44,43,29.91666667,294,294,294,294,294,294,230,170,170,170,170,170,4762,5175,2736,3016,3979,4393,2944,843,3208,349,745,3319,2331,1038,773,3226,469,882,3954,2649,1481,649,2331,277,581,3081,2268,1119,890,1882,485,741,2766,2468,1519,98.8091664,38.98582954
1,–°·‘≤›°¢–°¥‘∫Ïæ∞ÃÏ≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,0,0,664,826,710,410,0,0,0,32767,807,807,770,812,922,32767,740,246.2920074,4227,6.8965302,1159,121,1055,1129,1059,1159,1200,1251,1511,1538,2456,3778,3698,4274,3167,2972,2532,1825,1050,1158,887,946,1206,0,0,0,0,0,0,0,15,7,29,106,177,238,278,256,174,63,44,0,0,0,0,0,2,1,2,2,1,2,3,2,2,4,7,10,17,16,13,8,7,4,1,3,2,2,2,13450,13202,13496,13814,14044,14256,14122,14256,14105,14628,14594,14423,14823,14877,14778,14693,14367,14492,13878,14023,13771,13514,13243,14113.54348,14287.22727,14149.15556,14212.30435,14057.46512,1953,120,1639,1812,1576,1831,1854,2121,2273,2657,4239,5838,5925,6134,5581,5644,4629,3578,1407,1644,1439,1564,1674,0,0,0,0,0,0,0,13,7,25,94,155,204,247,225,157,52,36,0,0,0,0,0,17,9,15,18,7,15,13,12,11,19,34,45,55,57,51,34,38,24,9,20,14,19,19,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,30.83333333,45.58333333,44,43,29.91666667,294,294,294,294,294,294,230,170,170,170,170,170,4762,5175,2736,3016,3979,4393,2944,843,3208,349,745,3319,2331,1038,773,3226,469,882,3954,2649,1481,649,2331,277,581,3081,2268,1119,890,1882,485,741,2766,2468,1519,98.8091664,38.98582954
2,–°·‘≤›°¢–°¥‘∫Ïæ∞ÃÏ≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,0,0,664,826,710,410,0,0,0,32767,807,807,770,812,922,32767,740,246.2920074,4227,6.8965302,1159,121,1055,1129,1059,1159,1200,1251,1511,1538,2456,3778,3698,4274,3167,2972,2532,1825,1050,1158,887,946,1206,0,0,0,0,0,0,0,15,7,29,106,177,238,278,256,174,63,44,0,0,0,0,0,2,1,2,2,1,2,3,2,2,4,7,10,17,16,13,8,7,4,1,3,2,2,2,13450,13202,13496,13814,14044,14256,14122,14256,14105,14628,14594,14423,14823,14877,14778,14693,14367,14492,13878,14023,13771,13514,13243,14113.54348,14287.22727,14149.15556,14212.30435,14057.46512,1953,120,1639,1812,1576,1831,1854,2121,2273,2657,4239,5838,5925,6134,5581,5644,4629,3578,1407,1644,1439,1564,1674,0,0,0,0,0,0,0,13,7,25,94,155,204,247,225,157,52,36,0,0,0,0,0,17,9,15,18,7,15,13,12,11,19,34,45,55,57,51,34,38,24,9,20,14,19,19,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,30.83333333,45.58333333,44,43,29.91666667,294,294,294,294,294,294,230,170,170,170,170,170,4762,5175,2736,3016,3979,4393,2944,843,3208,349,745,3319,2331,1038,773,3226,469,882,3954,2649,1481,649,2331,277,581,3081,2268,1119,890,1882,485,741,2766,2468,1519,98.8091664,38.98582954
3,–°·‘≤›°¢–°¥‘∫Ïæ∞ÃÏ≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,0,0,664,826,710,410,0,0,0,32767,807,807,770,812,922,32767,740,246.2920074,4227,6.8965302,1159,121,1055,1129,1059,1159,1200,1251,1511,1538,2456,3778,3698,4274,3167,2972,2532,1825,1050,1158,887,946,1206,0,0,0,0,0,0,0,15,7,29,106,177,238,278,256,174,63,44,0,0,0,0,0,2,1,2,2,1,2,3,2,2,4,7,10,17,16,13,8,7,4,1,3,2,2,2,13450,13202,13496,13814,14044,14256,14122,14256,14105,14628,14594,14423,14823,14877,14778,14693,14367,14492,13878,14023,13771,13514,13243,14113.54348,14287.22727,14149.15556,14212.30435,14057.46512,1953,120,1639,1812,1576,1831,1854,2121,2273,2657,4239,5838,5925,6134,5581,5644,4629,3578,1407,1644,1439,1564,1674,0,0,0,0,0,0,0,13,7,25,94,155,204,247,225,157,52,36,0,0,0,0,0,17,9,15,18,7,15,13,12,11,19,34,45,55,57,51,34,38,24,9,20,14,19,19,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,30.83333333,45.58333333,44,43,29.91666667,294,294,294,294,294,294,230,170,170,170,170,170,4762,5175,2736,3016,3979,4393,2944,843,3208,349,745,3319,2331,1038,773,3226,469,882,3954,2649,1481,649,2331,277,581,3081,2268,1119,890,1882,485,741,2766,2468,1519,98.8091664,38.98582954
20,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,28,41,772,818,732,434,0,0,0,750,781,805,801,900,865,732,753,40.4491005,3974,6.0749998,1382,1313,1416,1264,1302,1157,1229,1389,1228,1775,3444,4361,3972,4253,3640,3577,2651,2163,1001,1252,319,1689,1123,0,0,0,0,0,0,0,18,8,17,126,165,234,275,247,215,68,46,0,0,0,0,0,2,3,2,2,2,2,2,2,2,3,7,10,19,16,11,11,8,3,1,1,1,1,1,13497,13583,13716,13829,14407,14517,14196,14545,14602,14868,14860,14848,14896,15023,14935,15135,14740,14996,14120,14443,13829,13830,13610,14026.08696,14149.33333,14065.95556,14158.93478,14062.13333,2096,1492,1842,1849,1879,1793,1785,1826,2107,2714,5933,6187,6328,5865,5956,5810,4576,3602,1428,2065,309,1666,1421,0,0,0,0,0,0,0,12,7,12,112,143,195,241,212,187,52,39,0,0,0,0,0,16,14,15,15,13,15,10,13,13,16,34,44,57,54,47,47,43,22,9,11,9,9,9,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,29.41666667,42,42.66666667,41.16666667,29.16666667,330,330,330,330,330,330,159,120,84,84,84,84,1452,2534,802,1204,3718,3429,2645,790,3354,453,892,4013,2930,1779,901,3457,512,956,3610,3165,1874,737,2781,389,714,3163,2685,1565,1143,2430,589,908,3070,3082,2115,98.78064399,38.8101435
21,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,28,41,772,818,732,434,0,0,0,750,781,805,801,900,865,732,753,40.4491005,3974,6.0749998,1382,1313,1416,1264,1302,1157,1229,1389,1228,1775,3444,4361,3972,4253,3640,3577,2651,2163,1001,1252,319,1689,1123,0,0,0,0,0,0,0,18,8,17,126,165,234,275,247,215,68,46,0,0,0,0,0,2,3,2,2,2,2,2,2,2,3,7,10,19,16,11,11,8,3,1,1,1,1,1,13497,13583,13716,13829,14407,14517,14196,14545,14602,14868,14860,14848,14896,15023,14935,15135,14740,14996,14120,14443,13829,13830,13610,14026.08696,14149.33333,14065.95556,14158.93478,14062.13333,2096,1492,1842,1849,1879,1793,1785,1826,2107,2714,5933,6187,6328,5865,5956,5810,4576,3602,1428,2065,309,1666,1421,0,0,0,0,0,0,0,12,7,12,112,143,195,241,212,187,52,39,0,0,0,0,0,16,14,15,15,13,15,10,13,13,16,34,44,57,54,47,47,43,22,9,11,9,9,9,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,29.41666667,42,42.66666667,41.16666667,29.16666667,330,330,330,330,330,330,159,120,84,84,84,84,1452,2534,802,1204,3718,3429,2645,790,3354,453,892,4013,2930,1779,901,3457,512,956,3610,3165,1874,737,2781,389,714,3163,2685,1565,1143,2430,589,908,3070,3082,2115,98.78064399,38.8101435
22,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,28,41,772,818,732,434,0,0,0,750,781,805,801,900,865,732,753,40.4491005,3974,6.0749998,1382,1313,1416,1264,1302,1157,1229,1389,1228,1775,3444,4361,3972,4253,3640,3577,2651,2163,1001,1252,319,1689,1123,0,0,0,0,0,0,0,18,8,17,126,165,234,275,247,215,68,46,0,0,0,0,0,2,3,2,2,2,2,2,2,2,3,7,10,19,16,11,11,8,3,1,1,1,1,1,13497,13583,13716,13829,14407,14517,14196,14545,14602,14868,14860,14848,14896,15023,14935,15135,14740,14996,14120,14443,13829,13830,13610,14026.08696,14149.33333,14065.95556,14158.93478,14062.13333,2096,1492,1842,1849,1879,1793,1785,1826,2107,2714,5933,6187,6328,5865,5956,5810,4576,3602,1428,2065,309,1666,1421,0,0,0,0,0,0,0,12,7,12,112,143,195,241,212,187,52,39,0,0,0,0,0,16,14,15,15,13,15,10,13,13,16,34,44,57,54,47,47,43,22,9,11,9,9,9,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,29.41666667,42,42.66666667,41.16666667,29.16666667,330,330,330,330,330,330,159,120,84,84,84,84,1452,2534,802,1204,3718,3429,2645,790,3354,453,892,4013,2930,1779,901,3457,512,956,3610,3165,1874,737,2781,389,714,3163,2685,1565,1143,2430,589,908,3070,3082,2115,98.78064399,38.8101435
23,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,28,41,772,818,732,434,0,0,0,750,781,805,801,900,865,732,753,40.4491005,3974,6.0749998,1382,1313,1416,1264,1302,1157,1229,1389,1228,1775,3444,4361,3972,4253,3640,3577,2651,2163,1001,1252,319,1689,1123,0,0,0,0,0,0,0,18,8,17,126,165,234,275,247,215,68,46,0,0,0,0,0,2,3,2,2,2,2,2,2,2,3,7,10,19,16,11,11,8,3,1,1,1,1,1,13497,13583,13716,13829,14407,14517,14196,14545,14602,14868,14860,14848,14896,15023,14935,15135,14740,14996,14120,14443,13829,13830,13610,14026.08696,14149.33333,14065.95556,14158.93478,14062.13333,2096,1492,1842,1849,1879,1793,1785,1826,2107,2714,5933,6187,6328,5865,5956,5810,4576,3602,1428,2065,309,1666,1421,0,0,0,0,0,0,0,12,7,12,112,143,195,241,212,187,52,39,0,0,0,0,0,16,14,15,15,13,15,10,13,13,16,34,44,57,54,47,47,43,22,9,11,9,9,9,0.0089789,0.0038102,0.0031765,0.0208612,0.0717958,0.130194,0.098325,0.103809,0.0581985,0.0127546,0.0069492,0.0023324,29.41666667,42,42.66666667,41.16666667,29.16666667,330,330,330,330,330,330,159,120,84,84,84,84,1452,2534,802,1204,3718,3429,2645,790,3354,453,892,4013,2930,1779,901,3457,512,956,3610,3165,1874,737,2781,389,714,3163,2685,1565,1143,2430,589,908,3070,3082,2115,98.78064399,38.8101435
37,–°·‘≤›≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,88,247,865,856,766,478,0,0,0,905,32767,846,703,763,828,917,831,180.0010071,3599,3.7098401,244,880,994,1216,117,1403,486,1366,1598,1600,1992,2655,3264,3801,3849,2972,2007,1604,269,106,171,265,390,0,0,0,0,0,0,0,22,7,38,93,122,211,258,254,166,58,50,0,0,0,0,0,1,1,1,2,1,1,1,1,2,3,7,11,11,8,10,8,5,3,1,1,1,1,1,13562,13693,13639,13816,13962,14237,13849,14234,14222,14813,14582,14556,14700,14865,14906,14803,14322,14700,13962,13956,13754,13622,13485,14240.45652,14329.13043,14188.19565,14449.04348,14409.80435,272,1076,1507,1397,125,1322,672,2296,2429,2453,3385,4591,5238,5327,5254,4890,3513,2783,334,119,231,348,518,0,0,0,0,0,0,0,17,5,32,84,111,183,231,220,151,50,44,0,0,0,0,0,9,9,9,15,4,7,3,6,9,17,31,43,43,33,44,34,29,18,6,9,9,9,9,0.0080986,0.0061304,0.0063971,0.0265982,0.0708307,0.119718,0.13694,0.121089,0.0867656,0.0197139,0.0091576,0.0001541,31,43.66666667,44.16666667,43.16666667,30.58333333,343,343,343,343,343,343,126,87,68,68,68,68,1782,2274,3367,3466,2600,1697,947,1124,3514,788,1177,3702,3099,1854,1070,3510,581,1045,4024,2884,2020,1234,3350,817,1207,3865,3232,2254,1264,2239,633,941,3226,3117,2161,99.26240587,38.62367323
38,–°·‘≤›≤›µÈ,≤›µÈ,–°·‘≤›≤›µÈ,2,0,0,0,88,247,865,856,766,478,0,0,0,905,32767,846,703,763,828,917,831,180.0010071,3599,3.7098401,244,880,994,1216,117,1403,486,1366,1598,1600,1992,2655,3264,3801,3849,2972,2007,1604,269,106,171,265,390,0,0,0,0,0,0,0,22,7,38,93,122,211,258,254,166,58,50,0,0,0,0,0,1,1,1,2,1,1,1,1,2,3,7,11,11,8,10,8,5,3,1,1,1,1,1,13562,13693,13639,13816,13962,14237,13849,14234,14222,14813,14582,14556,14700,14865,14906,14803,14322,14700,13962,13956,13754,13622,13485,14240.45652,14329.13043,14188.19565,14449.04348,14409.80435,272,1076,1507,1397,125,1322,672,2296,2429,2453,3385,4591,5238,5327,5254,4890,3513,2783,334,119,231,348,518,0,0,0,0,0,0,0,17,5,32,84,111,183,231,220,151,50,44,0,0,0,0,0,9,9,9,15,4,7,3,6,9,17,31,43,43,33,44,34,29,18,6,9,9,9,9,0.0080986,0.0061304,0.0063971,0.0265982,0.0708307,0.119718,0.13694,0.121089,0.0867656,0.0197139,0.0091576,0.0001541,31,43.66666667,44.16666667,43.16666667,30.58333333,343,343,343,343,343,343,126,87,68,68,68,68,1782,2274,3367,3466,2600,1697,947,1124,3514,788,1177,3702,3099,1854,1070,3510,581,1045,4024,2884,2020,1234,3350,817,1207,3865,3232,2254,1264,2239,633,941,3226,3117,2161,99.26240587,38.62367323
