ClassName,TotalPR2015,TotalPR2016,TotalPR2017,TotalPR2018,TotalPR2019,5year_total,5year_mean,count
Ó²Ã«¼¬¶¹£¨Oxytropis fetissovii £©²ÝÔ­,210,164,131.3333333,157.3333333,246.3333334,909,181.8,3
¾îÃ«Ç¾Þ±£¨Rosa sericea£©¹à´Ô,129,229,237,156,160,910.9999999,182.2,1
ÔÓÀà²Ý²Ýµé,197.7594937,228.2151899,201.0886076,206.2405063,215.721519,1049.025317,209.8050633,79
´ó»¨áÔ²Ý£¨Kobresia macrantha£©²Ýµé,219.2222222,233.0370371,197.2962962,218.1111112,230.3333333,1098,219.6,27
ÊøÉ¡ÑÇ¾Õ£¨Ajania parviflora£©»ÄÄ®,267.7777778,194.2222223,143.2222222,204.7777777,289.3333333,1099.333333,219.8666667,9
Ã«°ê¼¬¶¹£¨Oxytropis sericopetala£©²ÝÔ­,264.7894736,209.1578947,178.2631579,213.8947368,295.2105263,1161.315789,232.2631579,19
´ó×ÑÝï£¨Artemisia sieversiana£©²ÝÔ­,242.5,261.5,218.875,251.125,258.75,1232.75,246.55,32
ÂíÏÈÝï£¨Pedicularis spp.£©²Ýµé,287.8333333,234.3333334,177.6666666,238.8333334,320.5,1259.166667,251.8333333,6
Õ¹°úµÆÐÄ²Ý£¨Juncus thomsonii£©²Ýµé,232.75,289.2916667,255.25,278.5,237.8333333,1293.625,258.725,24
À¥ÂØÝï£¨Artemisia nanschanica£©²ÝÔ­,227.75,300.625,261.2500001,270.875,249.75,1310.25,262.05,8
Á­Ò¶¾Â£¨Allium carolinianum£©²ÝÔ­,252.6571428,284.0571428,265.9714285,274.1714286,258.8857142,1335.742857,267.1485714,35
Ä¤¹ûÂé»Æ£¨Ephedra przewalskii£©»ÄÄ®,307.2,242,192.2,257.6,347.8000001,1346.8,269.36,5
´¨Î÷°×´Ì»¨£¨Sophora davidii var. chuansiensis£©¹à´Ô,197,338,295,296,246,1372,274.4,1
ÂÌÝàÃ·£¨Prunus mume f. viridicalyx£©¹à´Ô,197,338,295,296,246,1372,274.4,1
Ã«Á«Ýï£¨Artemisia vestita£©²ÝÔ­,323,257.1666667,265.8333334,268.9999999,311.1666667,1426.166667,285.2333333,6
²ØÑòÃ©£¨Festuca wallichiana£©²ÝÔ­,308.25,307.4166667,242.9166667,305.6666666,318.75,1483,296.6,12
¸ßÉ½°Ø£¨Juniperus squamata£©¹à´Ô,303,303,239,300,346,1491,298.2,3
´ó»¨Ýï£¨Artemisia macrocephala£©²ÝÔ­,320.2727273,275.2727273,274,295.7272727,342.909091,1508.181818,301.6363637,11
¹ÌÉ³²Ý£¨Orinus thoroldii£©¸ßº®²ÝÔ­,263.1818182,345.4545455,325.7272727,323,276.4545455,1533.818182,306.7636364,11
ºúÑî£¨Populus euphratica£©ÁÖ,228,363,390,306,285,1572,314.4,5
