Vegatation,AET1901,AET1902,AET1903,AET1904,AET1905,AET1906,AET1907,AET1908,AET1909,AET1910,AET1911,AET1912,Full_Exten,Full_Ext_1,Full_Ext_2,Full_Ext_3,Full_Ext_4,Full_Ext_5,Full_Ext_6,Full_Ext_7,QTP_ASPECT,QTP_DEM,QTP_SLOPE,EVI190101,EVI190117,EVI190202,EVI190218,EVI190306,EVI190322,EVI190407,EVI190423,EVI190509,EVI190525,EVI190610,EVI190626,EVI190712,EVI190728,EVI190813,EVI190829,EVI190914,EVI190930,EVI191016,EVI191101,EVI191117,EVI191203,EVI191219,GPP190101,GPP190117,GPP190202,GPP190218,GPP190306,GPP190322,GPP190407,GPP190423,GPP190509,GPP190525,GPP190610,GPP190626,GPP190712,GPP190728,GPP190813,GPP190829,GPP190914,GPP190930,GPP191016,GPP191101,GPP191117,GPP191203,GPP191219,LAI190101,LAI190117,LAI190202,LAI190218,LAI190306,LAI190322,LAI190407,LAI190423,LAI190509,LAI190525,LAI190610,LAI190626,LAI190712,LAI190728,LAI190813,LAI190829,LAI190914,LAI190930,LAI191016,LAI191101,LAI191117,LAI191203,LAI191219,LST190101,LST190117,LST190202,LST190218,LST190306,LST190322,LST190407,LST190423,LST190509,LST190525,LST190610,LST190626,LST190712,LST190728,LST190813,LST190829,LST190914,LST190930,LST191016,LST191101,LST191117,LST191203,LST191219,LST2015,LST2016,LST2017,LST2018,LST2019,NDVI190101,NDVI190117,NDVI190202,NDVI190218,NDVI190306,NDVI190322,NDVI190407,NDVI190423,NDVI190509,NDVI190525,NDVI190610,NDVI190626,NDVI190712,NDVI190728,NDVI190813,NDVI190829,NDVI190914,NDVI190930,NDVI191016,NDVI191101,NDVI191117,NDVI191203,NDVI191219,NPP190101,NPP190117,NPP190202,NPP190218,NPP190306,NPP190322,NPP190407,NPP190423,NPP190509,NPP190525,NPP190610,NPP190626,NPP190712,NPP190728,NPP190813,NPP190829,NPP190914,NPP190930,NPP191016,NPP191101,NPP191117,NPP191203,NPP191219,PAR190101,PAR190117,PAR190202,PAR190218,PAR190306,PAR190322,PAR190407,PAR190423,PAR190509,PAR190525,PAR190610,PAR190626,PAR190712,PAR190728,PAR190813,PAR190829,PAR190914,PAR190930,PAR191016,PAR191101,PAR191117,PAR191203,PAR191219,PR190101,PR190201,PR190301,PR190401,PR190501,PR190601,PR190701,PR190801,PR190901,PR191001,PR191101,PR191201,PR2015,PR2016,PR2017,PR2018,PR2019,SOIL1901,SOIL1902,SOIL1903,SOIL1904,SOIL1905,SOIL1906,SOIL1907,SOIL1908,SOIL1909,SOIL1910,SOIL1911,SOIL1912,SR190602B1,SR190602B2,SR190602B3,SR190602B4,SR190602B5,SR190602B6,SR190602B7,SR190704B1,SR190704B2,SR190704B3,SR190704B4,SR190704B5,SR190704B6,SR190704B7,SR190728B1,SR190728B2,SR190728B3,SR190728B4,SR190728B5,SR190728B6,SR190728B7,SR190829B1,SR190829B2,SR190829B3,SR190829B4,SR190829B5,SR190829B6,SR190829B7,SR190930B1,SR190930B2,SR190930B3,SR190930B4,SR190930B5,SR190930B6,SR190930B7
≈©ÃÔ◊˜ŒÔ,0,0,0,688,543,867,888,640,647,100,0,0,32767,776,741,730,783,796,32767,32767,255.125,2986,6.0085402,1493,1971,1433,1750,1533,1361,1679,1384,2140,1889,8392,5365,5918,5976,4944,4068,4146,2883,1681,1679,1894,1628,1494,0,0,0,0,0,0,11,45,48,13,202,323,297,435,425,289,136,74,5,2,0,0,0,1,1,2,1,1,2,4,4,2,13,14,3,6,15,14,22,8,4,1,2,2,6,1,13629,13560,13622,14043,13965,13893,14219,14716,14384,14404,14829,14710,14249,14568,14738,14513,14268,14487,13861,13845,13866,13579,13494,14577.36957,14631.45652,14533.15556,14567.4,14457.06667,2275,3522,2506,2772,1717,1766,3114,3311,4344,2989,8398,7743,7842,7887,7944,6878,6490,5019,2664,2956,3097,2508,3145,0,0,0,0,0,0,8,41,40,12,174,270,250,346,342,238,117,64,3,2,0,0,0,9,9,15,7,4,12,20,20,12,49,49,13,24,49,48,68,39,22,6,14,13,41,9,0.0033331,0.0102033,0.0119076,0.0879392,0.255478,0.228652,0.185709,0.186473,0.171462,0.0598246,0.0078245,0.0007645,38.33333333,57.16666667,52.75,56.33333333,36.66666667,370,370,370,136,94,73,60,51,44,44,44,44,1344,2490,889,994,2494,2156,1203,442,3475,210,581,3540,2105,974,455,3853,223,629,3666,2370,970,378,2842,213,501,3125,2066,951,759,2289,369,577,3117,2712,1608
≈©ÃÔ◊˜ŒÔ,0,0,0,804,555,884,897,646,646,39,0,0,924,873,741,738,750,871,891,835,212.0279999,2975,0.730562,384,458,385,329,197,152,1281,1353,2042,3046,1802,4224,4117,4989,4126,4078,3495,2541,-195,98,154,-349,-164,0,0,0,0,0,0,14,62,48,21,207,160,296,412,389,271,141,101,3,2,0,0,0,1,2,1,1,0,0,3,3,2,4,13,7,9,14,25,14,5,7,0,1,1,1,1,13811,13530,13971,14086,13775,14139,14692,14830,14222,14398,14944,14141,14550,14684,14801,14607,14355,14590,13810,13985,13977,13490,13633,14489.26667,14528.54348,14459.22222,14525.82222,14401.86957,469,500,503,340,196,132,2424,2856,3827,5220,3367,7242,7354,6884,6738,6841,5793,5014,-184,98,158,-347,-180,0,0,0,0,0,0,10,53,43,16,182,143,249,337,323,228,124,87,3,2,0,0,0,9,12,9,7,2,2,17,17,8,23,49,35,37,47,70,54,28,37,0,4,9,7,4,0.0041095,0.0091899,0.0124646,0.0568723,0.129372,0.173585,0.174506,0.179702,0.142617,0.048477,0.0078003,0.0006891,38.66666667,58.16666667,53.91666667,57,37.33333333,368,368,368,140,96,74,60,51,45,45,45,45,834,2656,361,628,3256,2508,1575,453,2832,196,492,3058,2333,1078,640,4016,270,704,4000,2844,1271,554,2954,209,494,3184,2296,1136,678,2042,359,570,3039,2628,1568
≈©ÃÔ◊˜ŒÔ,0,0,0,757,544,841,898,656,635,140,0,0,867,836,885,724,750,881,802,858,99.0877991,2997,1.96456,103,44,135,-80,-183,-141,-364,1249,-166,846,1659,3881,3967,4475,3988,3524,2703,2406,-201,-44,-78,-132,-85,0,0,0,0,0,0,2,43,16,17,207,287,276,337,344,243,105,84,0,0,0,0,0,1,0,1,0,0,0,1,2,1,3,8,8,10,5,12,5,3,5,0,0,0,0,0,13245,13011,13402,0,13278,13667,14088,14457,14256,14147,14768,14677,14567,14542,14614,14461,14188,14560,13560,13491,13165,12998,13022,14495.33333,14495.31111,14462.65909,14469.06977,14316.26087,102,44,133,-109,-167,-138,-373,2224,-78,1979,2675,6116,6995,6534,6427,5863,5444,4666,-196,-41,-75,-125,-85,0,0,0,0,0,0,2,37,13,13,179,245,235,287,294,206,94,74,0,0,0,0,0,3,2,9,2,0,0,6,11,6,16,34,32,37,23,48,20,19,29,2,1,0,0,0,0.0031948,0.0091609,0.0142851,0.0533404,0.122102,0.192005,0.154342,0.167368,0.119916,0.0507715,0.0091579,0.0009413,38.83333333,58.66666667,53.25,57.75,37.08333333,339,339,339,125,86,67,55,47,41,41,41,41,936,1398,1116,1297,3407,2585,1931,2148,3043,368,710,3212,2617,1406,715,3411,389,779,3423,2831,1482,580,2149,283,523,2385,1846,1028,787,2164,340,506,2350,2096,1327
’Î“∂¡÷,0,0,0,706,558,859,888,647,636,116,0,0,834,798,803,891,761,757,759,797,26.6221008,2943,1.73076,803,197,822,512,-110,616,1111,861,1003,1372,586,2145,2643,3108,2762,2324,1839,1771,263,590,596,753,147,0,0,0,0,0,0,12,42,16,13,161,96,129,293,298,183,102,82,0,2,0,0,0,1,1,1,1,0,1,1,1,1,1,7,3,10,3,8,1,7,2,0,1,1,1,0,13744,13449,13872,14115,14049,14055,14488,14653,14167,14491,14783,0,0,14640,14641,14418,14234,14489,13771,13947,13925,13637,13621,14529.8913,14536.21739,14433.26667,14478,14399.46667,881,228,998,632,-103,835,1953,1648,1835,1866,612,2852,4269,4642,4732,3838,3224,3559,272,736,766,845,155,0,0,0,0,0,0,9,37,13,10,143,87,113,253,260,159,91,71,0,1,0,0,0,5,3,9,3,1,6,6,6,6,6,29,15,39,15,34,6,32,11,1,9,3,3,2,0.0031948,0.0091609,0.0142851,0.0533404,0.122102,0.192005,0.154342,0.167368,0.119916,0.0507715,0.0091579,0.0009413,38.58333333,58.58333333,53.5,57.5,36.91666667,359,359,359,132,91,71,58,49,43,43,43,43,2081,3036,1083,1233,2500,2284,1343,1761,2780,1116,1239,2708,2003,1354,1115,2921,593,999,3414,2921,1756,921,2077,625,919,2959,2324,1388,843,1775,491,712,2571,2378,1612
»Àπ§≤›µÿ,0,0,0,805,580,846,880,654,637,65,0,0,902,842,795,775,765,750,704,755,99.7106018,2861,5.4928498,-59,40,29,47,-147,-130,1007,1073,1981,2064,920,4432,4386,4481,4178,3576,2817,1906,-203,-50,11,-185,-197,0,0,0,0,0,0,3,35,3,21,180,323,146,369,310,229,69,84,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,7,10,13,14,9,33,3,5,0,0,0,0,0,13190,12931,13256,13381,13302,13647,14039,14462,14111,0,14850,14823,0,14728,14624,14374,14067,14518,13533,13559,13372,13110,13029,14468.28889,14492.53333,14417.11111,14467.5,14388.71739,-66,40,29,45,-138,-131,972,1677,3548,4166,1063,6622,6413,6562,6505,5917,4928,4039,-213,-55,11,-182,-206,0,0,0,0,0,0,3,31,3,20,156,274,129,311,266,193,64,75,0,0,0,0,0,4,3,2,2,0,1,6,6,6,12,29,43,47,49,38,80,21,27,1,2,1,2,2,0.0031948,0.0091609,0.0142851,0.0533404,0.122102,0.192005,0.154342,0.167368,0.119916,0.0507715,0.0091579,0.0009413,38.58333333,58.75,53.41666667,57.33333333,37,354,354,354,146,97,73,60,50,44,44,44,44,791,1921,430,766,2236,2290,1412,687,3381,446,870,3445,2847,1527,723,3483,398,821,4077,2697,1516,569,2530,177,558,3014,2280,1275,706,1663,431,653,2569,2339,1507
»Àπ§≤›µÿ,0,0,27,517,531,767,858,651,588,211,24,0,701,711,744,810,647,747,724,32767,285.3460083,2823,12.6549997,1180,1848,1462,1264,914,1590,1812,2153,1951,3358,918,4837,5462,5203,4444,3762,3326,1948,1538,1043,975,802,386,0,0,0,0,0,6,39,106,59,92,244,88,306,463,452,326,162,67,15,8,1,0,0,1,1,1,2,1,1,1,4,2,9,19,13,19,2,19,11,6,6,3,1,3,1,1,13452,13238,13523,13633,13472,13810,14090,14625,14411,14341,14686,14784,14552,14575,14687,14522,14366,14487,13783,13830,13578,13266,13281,14538,14549.80435,14507.66667,14504.77273,14417.76087,2731,3806,2806,2369,1183,2868,3534,4438,4642,6291,1119,7702,7762,7794,7868,7025,6581,5449,4118,3132,2319,1802,1578,0,0,0,0,0,5,32,93,52,78,208,80,257,363,366,269,139,62,10,7,0,0,0,9,9,9,9,7,7,6,18,12,38,58,47,56,13,63,42,32,30,16,9,24,9,8,0.0030345,0.0104591,0.0137683,0.0672665,0.156484,0.203312,0.170807,0.164895,0.127337,0.0529898,0.0092237,0.0010468,37.75,56.5,50.33333333,55.83333333,36.25,261,261,261,116,81,63,52,44,38,34,34,34,532,2337,424,587,2437,1746,1001,390,3005,248,635,3602,2182,1030,414,3341,263,644,3357,2313,980,352,2814,110,423,3002,2027,906,405,1375,181,317,1626,1312,713
¿´“∂¡÷,0,0,0,634,548,776,860,656,600,214,0,0,737,705,851,806,795,841,733,774,100.4430008,2738,5.1106501,578,285,768,782,259,925,1285,1447,2504,3309,2510,5670,5882,5201,5109,4328,4220,2752,2072,1516,1383,1092,784,0,0,0,0,0,5,18,50,91,66,326,194,294,532,536,415,221,155,44,49,1,0,0,1,1,1,2,1,1,1,5,1,18,20,6,36,15,32,21,16,10,4,3,1,2,3,13632,13351,13742,0,13598,13928,14353,14902,14265,0,14888,14558,14380,14624,14786,14382,14475,14611,14014,14034,13943,13617,13504,14439.35556,14455.36957,14402.75556,14433.13333,14318.32609,1000,301,1172,977,272,1824,3590,3613,5119,6657,3851,8250,8234,8389,8223,7583,7314,6078,4505,4115,3305,1766,1366,0,0,0,0,0,5,15,43,79,57,274,169,255,389,409,333,189,133,34,36,1,0,0,9,9,9,12,7,7,6,22,6,59,67,26,83,53,79,64,53,46,29,22,9,12,23,0.0031948,0.0091609,0.0142851,0.0533404,0.122102,0.192005,0.154342,0.167368,0.119916,0.0507715,0.0091579,0.0009413,37.08333333,56.75,50.91666667,55.66666667,35.33333333,325,325,325,122,84,65,54,46,40,35,35,35,437,2178,237,494,3039,2076,1196,346,3609,198,612,3573,2323,901,397,4003,225,666,4458,2358,1012,420,3126,271,621,4123,2627,1150,449,1841,280,482,2897,2313,1204
’Î“∂¡÷,0,0,0,758,543,792,909,662,603,118,0,0,793,778,708,777,785,720,724,730,308.6080017,2850,9.8215199,819,733,856,1194,1793,995,2373,2047,2411,2435,1119,5343,5170,4999,3889,3564,3470,2033,962,1870,522,1724,1047,0,0,0,0,0,10,76,187,169,213,497,614,422,484,624,590,313,195,58,40,2,0,0,3,3,4,6,2,5,10,9,11,2,17,3,58,7,15,3,14,12,3,5,5,5,5,13286,13093,13310,13517,13492,13858,14273,14531,14089,14475,14600,14496,14372,14501,14605,14427,14277,14337,13757,13762,13448,13188,13158,14470.54348,14481,14439.55556,14449.95556,14361.86364,4927,4746,4960,2892,3972,3030,5101,4883,5585,6294,1290,8156,8068,8226,8247,7316,7201,5419,2173,4942,1996,4273,3621,0,0,0,0,0,10,67,171,157,198,443,506,388,417,514,481,282,179,52,36,1,0,0,28,27,34,34,10,29,43,42,45,12,55,14,93,33,54,19,60,56,22,37,37,35,35,0.0030345,0.0104591,0.0137683,0.0672665,0.156484,0.203312,0.170807,0.164895,0.127337,0.0529898,0.0092237,0.0010468,36.5,55.08333333,48.83333333,54.25,35.33333333,308,308,308,131,85,65,52,44,38,38,38,38,350,1539,191,363,2119,1451,805,342,3369,168,532,3633,1985,762,301,3093,125,450,3393,1797,699,199,1624,63,249,1777,1028,378,426,1434,213,389,1870,1409,693
¿´“∂¡÷,0,0,0,666,740,817,950,719,625,17,0,0,886,903,724,540,475,749,710,32767,50.1865005,2722,32.3278999,133,344,749,262,927,1079,1336,1665,2614,3412,4702,6118,5578,5263,4991,4687,4597,3008,1938,2155,1507,197,442,0,0,0,0,0,12,36,87,105,117,320,250,481,288,494,375,229,149,52,24,1,0,0,1,1,1,1,1,2,1,3,6,8,14,11,20,14,27,23,16,8,6,3,2,3,3,0,13228,13538,13380,13721,14118,14391,15244,14684,14622,14740,14648,14394,14638,14755,14567,14467,14667,14121,14242,14011,13543,13449,14210.3913,14255.26087,14170.95349,14212.71739,14162.76087,141,374,836,284,1129,2155,2617,2869,4317,5661,6424,7815,7368,7788,7104,6994,6622,5023,3380,3895,2546,187,492,0,0,0,0,0,11,31,78,94,101,274,217,399,243,403,310,195,129,43,19,1,0,0,4,9,9,4,7,11,6,16,28,37,48,42,64,54,76,71,55,41,33,26,15,12,15,0.0043587,0.0093251,0.0126535,0.0476465,0.107663,0.157804,0.144368,0.151859,0.116292,0.05412,0.0082562,0.0011317,37.25,57.75,51.16666667,56.33333333,36.41666667,350,350,350,345,129,156,122,86,67,67,67,67,702,2534,443,752,2678,2486,1478,528,4307,271,805,3768,2280,901,590,4079,311,771,3627,2332,1020,675,3517,347,754,3598,2276,1077,852,2572,452,743,2914,2045,1084
ªÏΩª¡÷,0,0,0,637,517,696,897,602,571,178,0,0,735,952,608,709,724,485,743,32767,243.4179993,2568,22.9178009,1498,1042,1093,1941,1067,1188,1363,1453,1979,3501,5479,6132,6282,5878,5579,4890,4860,2873,2177,1535,1320,1011,1075,0,0,0,0,0,7,30,77,106,111,361,305,492,635,590,469,266,137,41,28,1,0,0,3,1,1,3,2,2,2,5,6,9,11,7,14,18,27,49,10,8,3,3,2,3,3,13341,13205,13472,13554,13560,13902,14100,14634,14118,14409,14551,14387,14433,14561,14626,14403,14294,14458,13936,13862,13619,13366,13208,14287.73913,14321.06522,14277.84444,14297.31111,14214.8913,4409,3565,3646,3634,2379,3870,3780,3909,5135,6983,7283,8690,8620,8752,8664,8277,7974,6284,5791,5177,4568,3806,4041,0,0,0,0,0,7,28,70,98,102,330,284,441,504,498,413,239,126,37,23,0,0,0,25,9,9,17,12,13,10,24,28,40,38,31,52,60,76,88,45,41,20,25,18,26,20,0.0041656,0.0093477,0.0088126,0.0432663,0.088263,0.133768,0.123871,0.14306,0.120602,0.0435043,0.0098231,0.0014273,35.25,53,46,52.08333333,35.41666667,323,323,323,119,82,64,52,44,39,35,35,35,398,2241,213,498,2179,1730,864,265,3782,138,527,3397,2076,756,235,3534,122,475,3664,1877,714,246,3091,158,488,3214,1951,786,441,1933,208,371,1923,1374,650
