,ClassName
高山嵩草（Kobresia pygmaea）草甸,5555
紫花针茅（Stipa purpurea）草原,2041
矮生嵩草（Kobresia humilis）草甸,1290
垂穗披碱草（Elymus nutans）高寒草甸,1107
线叶嵩草（Kobresia capillifolia）草甸,458
藏嵩草（Kobresia vchaenoides=Kobresia tibetica）沼泽草甸,432
青藏薹草（Carex moorcroftii）高寒草原,389
长芒草（Stipa bungeana）草原,372
藏北嵩草（Kobresia littledalei）沼泽草甸,317
细叶早熟禾（Poa pratensis subsp. angustifolia）草甸草原,317
芨芨草（Achnatherum splendens）草原,282
圆穗蓼（Polygonum macrophyllum）、珠芽蓼（Polygonum viviparum）高寒草甸,216
沙生风毛菊（Saussurea arenaria）＋矮风毛菊（Saussurea humilis）高寒草甸,210
金露梅（Potentilla fruticosa）灌丛,191
鹅绒委陵菜（Potentilla anserina）高寒草甸,163
异针茅（Stipa aliena）草原,157
小叶金露梅（Potentilla parvifolia）灌丛,157
藓状雪灵芝（Arenaria bryophylla）垫状植被,143
冷蒿（Artemisia frigida）草原,142
藏沙蒿（Artemisia wellbyi ）高寒草原,121
碱韭（Allium polyrhizum）草原,111
克氏针茅（Stipa kryllovii）草原,110
芨芨草（Achnatherum splendens）草甸,107
细叶嵩草（Kobresia filifolia）草甸,103
荒漠,99
羊茅（Festuca ovina）杂类草草甸,83
青海早熟禾（Poa rossbergiana）+扇穗茅（Littledalea racemosa）高寒草甸,82
羊草（Leymus chinensis）草原,80
杂类草草甸,79
青海早熟禾（Poa rossbergiana）草甸,67
赖草（Leymus secalinus）草甸,66
嵩草（Kobresia spp.）草甸,63
三刺草（Aristida triseta）草原,62
盐爪爪（Kalidium foliatum）荒漠,58
华扁穗草（Blysmus sinocompressus）沼泽化草甸,56
薹草（Carex spp.）草甸,54
细叶亚菊（Ajania tenuifolia）杂类草草甸,53
冰草（Agropyron cristatum）草原,49
风毛菊（Saussurea spp.）+红景天（Rhodiola spp.）+垂头菊（Cremanthodium spp.）群落（专为植被制图）,49
